Trace,
ADEMOD:FM,
A.14.13,N9010A
503 P03 ,1
AF Res Bandwidth,180.00 Hz
AF Start Freq,0 Hz
AF Stop Freq,20.000000 kHz
Attenuation,10 dB
Average Count,10
Average State,Off
BPF,Off
Center Frequency,433900000
Channel BW,1.5 MHz
Demod Time,1.80 s
External Gain,0.00 dB
HPF,Off
Input Z Correction,50 â„?
LPF,80 kHz
PreAmp Band,Low
PreAmp State,Off
Ref Level,0.000 Hz
RF Calibrator,Off
RF Coupling,AC
RF Res Bandwidth,1.6 MHz
RF Span,3.000 MHz
Sweep Time,50.0 ms
Trigger Delay,4.000 ms
Trigger Level,-2.00E+01
Trigger Slope,Positive
Trigger Source,RF Burst
X Axis Unit,S
Y Axis Unit,Hz
Demod,
262262.0229,
262981.466,
262566.3421,
261078.5421,
262230.2719,
263417.8883,
262941.6174,
262963.8079,
261516.5361,
262622.9714,
262748.7989,
262277.2422,
263031.5653,
263656.4563,
262950.8336,
262748.9955,
262002.6944,
262186.8684,
184009.3396,
262854.9255,
182216.8722,
262224.4151,
183265.2175,
263312.3122,
183474.099,
262523.7826,
184209.5601,
262898.3404,
261476.3957,
182861.9825,
261879.1259,
184843.5545,
260510.1811,
182906.4024,
265011.7446,
177525.0015,
266755.1513,
192058.5879,
225914.268,
262791.8752,
261463.0299,
183755.3225,
263241.3237,
183608.8619,
262458.8391,
184216.1829,
262569.2226,
183020.6416,
262135.1684,
184209.0985,
262891.4084,
262499.9525,
182878.8049,
183624.3451,
261875.0221,
182631.1287,
261709.5613,
261711.2604,
184307.6921,
262804.0381,
177639.9943,
268805.3164,
262462.3225,
208022.6213,
181616.5075,
184218.3403,
262612.1954,
182888.596,
263112.3998,
182889.9079,
261476.7146,
183200.6173,
262914.7601,
262800.2877,
263184.1686,
183841.7474,
262291.0346,
262354.9174,
262427.359,
263108.3893,
183918.4305,
262046.9368,
262939.3372,
185229.7612,
262265.074,
263051.2628,
176482.6971,
265613.482,
261604.7486,
263342.5785,
263034.1615,
263176.0925,
183143.9111,
261591.4701,
262471.321,
183301.3439,
262187.5601,
261593.4523,
182981.1604,
263237.2128,
263640.1052,
263036.1566,
263107.5463,
183753.2412,
262966.2601,
262937.3803,
183191.3003,
261725.7634,
262600.0341,
184513.1025,
184102.493,
268692.7913,
177741.4534,
183188.0816,
182288.7352,
183436.9479,
183019.9072,
183496.3338,
183052.1778,
263642.5125,
262165.3213,
183174.4241,
262576.8027,
262160.1811,
182921.5809,
183584.1946,
262136.2177,
183457.6983,
182957.4516,
182977.0699,
262519.1648,
262362.0444,
184077.138,
183334.122,
261023.6978,
262462.4971,
178476.8829,
183061.517,
183226.6992,
243507.7122,
233949.1927,
187052.0184,
262465.6726,
263037.8793,
182914.5027,
183163.5859,
262623.2821,
183126.0197,
183558.342,
182063.1865,
182707.6004,
183931.2704,
262528.3058,
261408.4575,
262106.7671,
181804.8619,
183722.0997,
262306.9483,
262129.6887,
262431.4228,
262835.5307,
262971.8062,
178131.8132,
183525.9744,
254295.9561,
263103.5852,
250985.6719,
183111.1008,
183753.0907,
262797.678,
262577.8731,
183302.0956,
261704.0414,
262375.3692,
183212.9625,
182160.218,
262451.9313,
262417.5242,
182455.2995,
182540.1024,
183825.278,
181835.3329,
184511.325,
262503.3765,
262698.8489,
263233.988,
262496.0763,
262978.4625,
262592.2344,
262873.2072,
262899.609,
263125.2872,
262881.7479,
261828.3245,
261725.033,
263020.3631,
263195.3598,
262053.0584,
262162.8373,
262600.0686,
263506.4315,
183640.3049,
261996.2771,
184016.9445,
262120.0647,
183345.633,
261614.2548,
183233.5854,
261668.7499,
184768.2659,
260920.303,
261559.3894,
178672.0609,
268625.0629,
179088.5,
249482.6423,
225083.8051,
190112.3247,
263121.8366,
183362.8983,
263817.446,
183295.5553,
262905.1941,
262271.3991,
182240.5009,
262469.6538,
183983.9638,
262531.2773,
182488.8304,
263101.2048,
182864.0441,
263135.6545,
182425.7593,
262038.4413,
262579.3349,
184507.1312,
182463.0525,
263408.8489,
177938.1905,
268320.638,
262275.6731,
213422.947,
200418.1679,
262598.4981,
183313.5506,
262221.2697,
262985.21,
183209.9116,
183164.8785,
261464.0334,
182742.1152,
262235.7364,
181967.049,
261773.2864,
184086.0621,
262443.3329,
262757.5036,
262250.6732,
183296.9209,
262266.2793,
262496.0969,
263193.9484,
261852.5657,
179571.7511,
269703.6609,
262110.2944,
201212.7623,
213355.7299,
262188.6075,
263021.4837,
183207.107,
263674.492,
262707.9533,
263028.1563,
262402.3368,
184282.6348,
262063.0269,
262011.901,
183980.4543,
263638.9867,
262708.054,
182520.0825,
262914.5854,
261610.1304,
262290.3307,
262964.5121,
184643.6354,
262745.4224,
263005.3692,
177371.0475,
267368.2977,
262376.7771,
219200.9542,
183416.1134,
184003.0971,
262298.0982,
182994.3366,
183434.7661,
182252.9238,
183502.8785,
183784.0147,
183111.3884,
263563.9911,
262816.1497,
183128.0246,
263242.3304,
262053.282,
183966.5486,
182628.6856,
262991.3393,
183646.3705,
182308.1514,
184486.2615,
263319.4764,
261813.2851,
176296.1475,
183945.3093,
238212.4914,
262636.268,
261549.8703,
182448.6578,
183334.2493,
184012.9618,
262129.4412,
183486.6738,
262787.862,
262338.8776,
183126.7336,
183050.7007,
262923.918,
182887.9833,
183374.6415,
183638.0171,
183308.4674,
183346.4029,
262123.7964,
263765.2993,
263296.038,
182965.7742,
183311.4825,
268462.6472,
262058.944,
263583.4154,
261822.3753,
263295.0521,
261774.1961,
183474.7967,
183375.788,
262571.2741,
263492.2988,
183845.1358,
182947.3441,
263301.4504,
262059.2533,
183361.5483,
262555.3406,
261548.906,
183335.3709,
182228.8387,
263483.1862,
263296.4251,
182578.7697,
183123.084,
183040.6923,
183663.2965,
182727.1716,
267959.7374,
261874.644,
262445.4715,
262245.2376,
262368.3839,
262240.9126,
263381.8097,
262901.0716,
262125.5848,
263095.7889,
263289.51,
262786.4159,
263690.5001,
262138.2725,
262843.3105,
263140.4716,
263187.4207,
261977.5087,
183579.63,
263428.6638,
183003.6348,
261478.5275,
184094.5123,
261277.7842,
178849.9587,
269634.6692,
180770.7118,
244430.214,
262498.2154,
258984.5083,
182697.5392,
262203.5364,
182712.5672,
263258.1792,
182921.9972,
262397.3438,
183487.8416,
263177.253,
183787.238,
264071.6289,
261962.2326,
182618.3416,
262161.4562,
183493.9049,
262707.7972,
183373.2253,
262887.7448,
184126.2863,
262281.7547,
181274.2187,
268482.155,
261392.8497,
191999.0698,
183462.243,
197206.4222,
261949.9071,
184368.3728,
263499.593,
262828.6559,
182779.1872,
262853.7111,
182665.147,
263647.7623,
263221.6292,
184198.4374,
183587.9772,
262792.1911,
182544.5848,
262944.2434,
184667.1079,
262312.8205,
184916.6429,
261535.5523,
261649.6474,
263265.8881,
177565.091,
269151.3123,
262833.2981,
262577.6514,
