Trace,
ADEMOD:FM,
A.14.13,N9010A
503 P03 ,1
AF Res Bandwidth,180.00 Hz
AF Start Freq,0 Hz
AF Stop Freq,20.000000 kHz
Attenuation,10 dB
Average Count,10
Average State,Off
BPF,Off
Center Frequency,433900000
Channel BW,1.5 MHz
Demod Time,360 ms
External Gain,0.00 dB
HPF,Off
Input Z Correction,50 â„?
LPF,80 kHz
PreAmp Band,Low
PreAmp State,Off
Ref Level,0.000 Hz
RF Calibrator,Off
RF Coupling,AC
RF Res Bandwidth,1.6 MHz
RF Span,3.000 MHz
Sweep Time,10.0 ms
Trigger Delay,4.000 ms
Trigger Level,-2.00E+01
Trigger Slope,Positive
Trigger Source,RF Burst
X Axis Unit,S
Y Axis Unit,Hz
Demod,
473850.5691,
250181.2191,
263151.4208,
262599.5251,
261759.5999,
262601.3518,
261479.5887,
262880.286,
262803.379,
262973.8184,
263043.0849,
262387.7592,
262234.9433,
262300.875,
261825.1124,
261548.6886,
262876.2598,
262433.1181,
263229.4256,
261208.5313,
262788.9079,
262425.1935,
262909.3846,
263365.4465,
261437.124,
262903.7152,
263198.9807,
261919.2337,
262661.0521,
262736.4053,
263145.1924,
263492.6547,
262592.1117,
263120.2978,
262269.0954,
262950.5751,
264076.3612,
261963.0462,
262133.1466,
262465.906,
262552.7968,
262562.2051,
262742.4051,
262685.1085,
261673.1417,
262532.8516,
262614.7056,
262673.8915,
263043.127,
263609.0898,
262504.533,
262012.0886,
262037.0553,
262564.1791,
262077.5917,
262954.1221,
263059.8597,
261834.628,
262813.6517,
262469.797,
261594.5561,
262495.6987,
263642.1668,
262577.188,
262360.5539,
263131.7873,
262331.7739,
262603.9031,
261200.7554,
263103.0055,
262180.7211,
261736.1719,
263516.5579,
262384.9692,
262425.5675,
261846.2304,
261982.97,
263184.9212,
262045.2772,
263249.1849,
261669.6224,
263185.5007,
262832.6062,
262119.1968,
263296.4461,
261865.6426,
262747.4889,
263570.2784,
204728.584,
184192.7163,
182843.746,
183366.375,
183523.9907,
208997.3504,
263182.3693,
263285.2609,
262455.198,
263495.6723,
259630.6164,
178570.9767,
183311.9102,
183679.9805,
182363.3495,
182993.4292,
268751.0103,
261068.3472,
263278.7335,
262363.6286,
261516.7685,
186249.1814,
184728.5756,
183018.8639,
184351.901,
182682.5166,
237217.9121,
262494.1599,
262418.5078,
263026.3812,
262441.4405,
241060.6642,
181356.792,
183006.5105,
181704.5872,
184286.2941,
184699.0195,
268856.292,
262928.3758,
262514.3033,
262262.8662,
261545.7986,
177551.4499,
184267.4866,
183592.7486,
183421.7582,
182754.8661,
259123.0566,
261877.9956,
262675.8595,
262757.9876,
262826.9698,
261173.2,
261590.5591,
263522.4775,
262436.7239,
262587.1964,
242841.6994,
180874.3382,
182970.3362,
183140.1657,
183758.7517,
184620.987,
268512.3405,
262406.4301,
262652.8874,
262143.3559,
261662.6236,
177899.0833,
185313.4588,
183830.8212,
183491.8145,
183411.3262,
256872.3386,
260601.166,
263168.5154,
263129.3076,
262361.1082,
216403.2953,
183330.6536,
182410.8297,
183129.2999,
183542.5291,
198833.9842,
265844.4999,
261964.3663,
262497.2963,
261743.0669,
262835.7837,
176641.4649,
182864.8773,
182525.5274,
183246.9351,
183558.5835,
268510.2853,
260985.8908,
263413.6244,
262252.3057,
262447.834,
192246.6448,
184369.3687,
184122.2619,
182178.2851,
183105.0934,
226727.2016,
262743.0391,
263275.2302,
262267.8799,
261109.4328,
261835.4646,
263197.3103,
262643.8885,
263573.7519,
262671.0893,
262706.2415,
176920.4252,
183211.164,
182781.9812,
182762.9349,
183650.2201,
266447.6765,
262094.4971,
261768.6754,
262036.8749,
263165.8484,
195095.6806,
184087.5218,
183295.4965,
182736.8224,
183035.453,
222246.8239,
263111.5252,
263154.9601,
262614.7444,
263080.6774,
253289.8875,
180868.0821,
183216.8043,
183418.9852,
182042.055,
182141.9995,
268560.3143,
262881.4845,
262328.9979,
263808.0275,
263691.6762,
180620.1471,
183634.3394,
183042.6836,
183457.3941,
183441.0934,
249143.3263,
260613.2255,
263130.6599,
262733.0962,
263188.3215,
227315.796,
182136.0792,
183722.493,
183183.7582,
183927.7062,
190944.4842,
265685.1012,
263116.3863,
261531.1165,
264099.3968,
261853.0892,
263184.4538,
262819.3115,
262396.2773,
262270.6517,
262828.6262,
181338.0063,
184385.0419,
183703.912,
184954.2614,
182905.4387,
183636.7881,
183575.735,
183345.8416,
182615.3751,
182769.167,
213235.1958,
264768.9303,
262201.9763,
263708.5397,
261721.4555,
258248.0541,
178930.2592,
182337.4315,
182926.4367,
184200.677,
182345.1909,
269369.0356,
262229.972,
262834.6215,
261744.6956,
261698.1221,
263471.226,
262898.0135,
263773.2228,
262473.4469,
263168.5915,
203384.0461,
184660.7748,
183894.3825,
183001.6894,
182059.0987,
210575.0855,
263702.8538,
262965.637,
262402.3533,
262013.9633,
259784.1379,
178793.5036,
182710.5933,
183576.9173,
183422.5096,
183438.8813,
268156.583,
263207.1646,
262353.8863,
262662.7749,
263167.8155,
262476.7231,
262075.7198,
262565.0614,
263098.4761,
261617.4159,
206895.1393,
183216.0226,
181744.1286,
182940.3325,
183543.5634,
183910.0577,
182864.5913,
182768.7718,
182403.0424,
183499.5248,
184930.0383,
268051.9208,
263712.196,
262559.1011,
262556.561,
262954.4019,
176771.1875,
184646.0195,
183002.8626,
183258.624,
182409.4544,
259951.4281,
261520.3826,
261692.7669,
261980.0029,
262801.5472,
209083.0064,
183969.2741,
182819.398,
182923.1703,
183183.2413,
203057.8223,
263916.0569,
262854.4313,
262963.7029,
261806.0042,
261190.4987,
178369.6635,
183122.2001,
183994.2178,
183929.6124,
182052.8312,
268770.9375,
263449.9103,
263407.2473,
262052.7132,
262651.4476,
262268.2363,
261185.3962,
263469.725,
262423.3752,
262489.7822,
262506.8823,
262113.9952,
262137.0937,
261681.2226,
263264.2936,
245704.6974,
181520.9928,
183315.4266,
183268.5216,
182113.4239,
184822.3348,
268255.4785,
262282.3165,
263394.6759,
262052.5059,
263298.8894,
262368.0026,
262942.0437,
262841.3377,
261449.927,
262890.7659,
262883.7791,
261945.4845,
262425.3349,
263628.2941,
262233.0288,
262549.5166,
262399.9636,
262488.572,
261910.5614,
263103.1992,
249779.1061,
179416.0868,
182127.4043,
183102.7513,
182364.0823,
183624.7931,
270181.0604,
262230.0611,
261926.2903,
263149.4024,
262347.7034,
261959.9243,
263335.1837,
263207.4755,
262274.2765,
262065.2988,
193777.7518,
184228.0521,
183092.5531,
182951.387,
181429.3318,
224220.3506,
262290.5725,
262832.4261,
262278.1624,
263023.4046,
262589.6077,
262829.8433,
262875.6215,
262605.3573,
261944.7705,
262538.4948,
177562.0446,
183469.6337,
183705.6069,
182286.9823,
183142.0877,
266140.3066,
260907.7804,
261417.5961,
263219.4555,
263144.6599,
261618.9464,
263168.9881,
